name,stationID,date,weekday,hours,longitude,latitude,real_flow,pop_density,land_use_mix,num_accommodation,num_sports_leisure,num_public_facilities,num_companies,num_healthcare,num_business_residential,num_gov_org,num_auto_sales,num_life_services,num_cultural_education,num_shopping,num_finance,num_scenic_spots,num_catering,num_parking,num_bus_stops,road_density_km,intersection_density_km,connectivity,distance_to_nearest_CBD
外院附中,40,20230327,0,7,117.1856492,39.1702832,861.0,32662,0.3423339870048907,4.0,14.0,7.0,24.0,20.0,26.0,37.0,0.0,85.0,18.0,152.0,4.0,0.0,109.0,33.0,7.0,23.88350094582394,30.885860777234456,4.790322580645161,3.916498799216458
西南楼,84,20230329,2,22,117.2098253,39.0945903,159.0,35618,0.1532128900694728,26.0,88.0,88.0,185.0,104.0,89.0,192.0,26.0,569.0,114.0,697.0,86.0,6.0,586.0,249.0,14.0,19.55185726229928,45.8306321210187,4.239130434782608,0.5593706456325833
职业大学,71,20250325,1,17,117.1753791,39.2301237,144.0,899,0.2615915816301693,8.0,6.0,2.0,3.0,0.0,12.0,4.0,0.0,37.0,16.0,21.0,2.0,1.0,33.0,5.0,3.0,15.219284843996167,21.42083892613304,4.906976744186046,10.54990991546994
南何庄,47,20240329,4,14,117.2847512,39.2051927,79.0,7557,0.4207770575652183,3.0,3.0,0.0,60.0,4.0,4.0,3.0,0.0,52.0,2.0,92.0,0.0,0.0,36.0,6.0,4.0,6.89659885495314,5.479749492731632,5.363636363636363,9.348789365357266
文化中心,162,20230326,6,9,117.201156,39.0882375,1000.0,60432,0.3999962577268929,10.0,40.0,95.0,52.0,32.0,38.0,99.0,18.0,199.0,62.0,520.0,24.0,14.0,225.0,139.0,8.0,14.46587739287357,33.376656001186745,5.432835820895522,1.0575305424377448
国家会展中心,81,20230329,2,17,117.3775098,39.0278313,48.0,511,0.6941971689737615,0.0,0.0,71.0,4.0,0.0,3.0,4.0,0.0,30.0,24.0,8.0,0.0,0.0,24.0,13.0,2.0,32.84656545898102,125.5360792880518,5.698412698412699,15.07823164747612
西康路,207,20230330,3,7,117.1816889,39.1111578,3796.0,37292,0.0,51.0,86.0,29.0,161.0,143.0,149.0,228.0,0.0,574.0,223.0,421.0,100.0,6.0,486.0,348.0,13.0,17.997083444843714,65.25883486798146,4.190839694656488,2.4405221018964376
中山路,195,20250325,1,8,117.198963,39.1613463,2062.0,43648,0.0722646271648129,30.0,68.0,16.0,89.0,132.0,70.0,122.0,1.0,326.0,75.0,419.0,29.0,12.0,356.0,162.0,12.0,33.1198979940161,63.76435773359748,5.0546875,3.3170899781993834
十一经路,131,20230327,0,21,117.2175163,39.1204458,136.0,29710,0.2709371390548868,58.0,86.0,37.0,271.0,88.0,101.0,154.0,2.0,445.0,91.0,520.0,71.0,16.0,574.0,277.0,17.0,27.47305543490095,92.15942328686609,4.848648648648648,0.5741484602706105
泰昌路,97,20240328,3,17,117.2501854,39.1213217,1417.0,37847,0.1957980608290832,53.0,120.0,43.0,162.0,47.0,39.0,65.0,13.0,524.0,89.0,1080.0,18.0,18.0,604.0,105.0,7.0,36.53350043110982,77.71281098784338,5.301282051282051,0.5267145206105116
东兴路,126,20230330,3,16,117.235975,39.1026888,715.0,46757,0.2414565898600203,45.0,47.0,16.0,99.0,85.0,52.0,110.0,5.0,300.0,64.0,324.0,30.0,6.0,275.0,165.0,7.0,15.398383424925246,21.918997970926984,4.659090909090909,2.3307414563841347
瑶环路,121,20250327,3,13,117.1685799,39.0536774,23.0,1527,0.1817170020972225,12.0,34.0,4.0,65.0,42.0,31.0,43.0,0.0,167.0,24.0,369.0,9.0,0.0,217.0,76.0,7.0,22.72300716736097,28.89322459804491,5.655172413793103,5.59808696329036
柳林路,113,20240325,0,9,117.2785786,39.0713979,165.0,20491,0.2573890420676233,55.0,24.0,6.0,28.0,32.0,14.0,28.0,0.0,102.0,32.0,477.0,6.0,5.0,225.0,52.0,8.0,17.260435453231853,14.94477134380654,4.333333333333333,6.02624063689003
南翠屏,31,20240327,2,19,117.1523094,39.0790129,240.0,1645,0.3242058496895253,20.0,22.0,16.0,23.0,10.0,16.0,26.0,0.0,79.0,12.0,53.0,7.0,65.0,21.0,77.0,7.0,47.12071310229884,165.88696191636515,6.4324324324324325,5.396347092251259
航双路,102,20230331,4,15,117.327595,39.1100571,12.0,8993,0.6306807629653165,1.0,2.0,1.0,57.0,1.0,12.0,10.0,1.0,18.0,4.0,6.0,2.0,0.0,15.0,20.0,3.0,10.973578232926124,16.439248478201023,4.181818181818182,6.474458719493775
洪湖里,6,20240329,4,22,117.1554917,39.1697729,927.0,30868,0.0217179697404514,58.0,40.0,16.0,28.0,73.0,65.0,119.0,1.0,277.0,57.0,446.0,35.0,3.0,459.0,106.0,11.0,15.809855292939655,27.89690650845563,4.839285714285714,4.382312138495212
东海路,134,20230329,2,16,117.7310168,39.0397198,31.0,212,0.427482375136053,0.0,4.0,0.0,43.0,2.0,13.0,8.0,0.0,21.0,13.0,13.0,3.0,2.0,15.0,24.0,10.0,13.868848799056824,16.93740752298605,5.441176470588236,6.118534037295471
高庄子,78,20240325,0,9,117.3549977,39.0416062,243.0,668,0.6161505418003074,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.796527593330495,22.41715701571185,5.4,12.626295209195188
东沽路,59,20230325,5,18,117.4019914,39.0110927,709.0,1399,0.4866979554188235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,12.26865926507928,14.446612299022089,4.689655172413793,17.889520649974042
津湾广场,208,20240325,0,11,117.2011885,39.1303448,1337.0,42049,0.4506894922438303,155.0,85.0,95.0,216.0,54.0,84.0,118.0,22.0,399.0,75.0,604.0,90.0,75.0,537.0,236.0,21.0,60.3857250866332,132.0121468703826,4.992452830188679,0.4026599873336353
登州路,24,20250325,1,10,117.2903802,39.149859,299.0,11940,0.3294580843566406,4.0,6.0,1.0,25.0,7.0,12.0,15.0,11.0,18.0,7.0,25.0,0.0,0.0,18.0,17.0,6.0,18.88303112548411,18.93004370215684,4.921052631578948,4.173526453263386
崂山道,106,20250325,1,6,117.2774193,39.1376061,93.0,9792,0.0428842366469443,28.0,40.0,7.0,71.0,67.0,26.0,69.0,1.0,303.0,48.0,516.0,14.0,4.0,341.0,36.0,10.0,12.639593239077245,27.896906508450463,4.982142857142857,2.439890042259682
成林道,89,20240330,5,11,117.2393964,39.1292223,1391.0,28910,0.1061991129019251,20.0,45.0,10.0,48.0,41.0,39.0,103.0,5.0,183.0,39.0,225.0,12.0,4.0,148.0,114.0,7.0,28.518891068784573,55.29565397209659,4.342342342342342,1.4379980271081216
北宁公园,42,20250329,5,13,117.2185534,39.1653146,298.0,47900,0.059998164853516,31.0,61.0,16.0,66.0,60.0,42.0,91.0,1.0,260.0,51.0,321.0,16.0,12.0,232.0,99.0,12.0,23.936395410190435,77.21465194304744,5.019354838709678,4.531388561927683
万山道,108,20250325,1,8,117.2813267,39.1237729,78.0,15419,0.2139204362259705,8.0,18.0,0.0,22.0,41.0,29.0,34.0,2.0,116.0,9.0,116.0,4.0,1.0,121.0,49.0,8.0,20.12521082031204,32.878496956381355,5.515151515151516,2.2847548855467115
十一经路,131,20230330,3,19,117.2175163,39.1204458,436.0,29710,0.2709371390548868,58.0,86.0,37.0,271.0,88.0,101.0,154.0,2.0,445.0,91.0,520.0,71.0,16.0,574.0,277.0,17.0,27.47305543490095,92.15942328686609,4.848648648648648,0.5741484602706105
民权门,43,20240325,0,14,117.2274714,39.1676988,176.0,52812,0.0797646481191465,26.0,28.0,13.0,50.0,29.0,33.0,67.0,0.0,215.0,30.0,606.0,13.0,2.0,250.0,90.0,9.0,24.015440883174826,53.30301779295191,6.158878504672897,4.973347226539963
滨海国际机场,29,20240326,1,20,117.3552221,39.1319209,648.0,305,0.5866275930936097,0.0,0.0,120.0,1.0,0.0,0.0,4.0,0.0,24.0,0.0,36.0,8.0,0.0,23.0,14.0,5.0,44.59472786806265,222.17893397794973,6.201793721973094,8.69826441739024
